0814F4D0  TONG_GetTaskValue
081505A5  TONG_GetTongByRoleName
08147908  TONG_GetTongCount
08148BC0  TONG_GetTongMap
08148D04  TONG_GetTongMapBan
08148C98  TONG_GetTongMapTemplate
0814E5CC  TONG_GetTotalBuildFund
0814F574  TONG_GetUTaskValue
081488D4  TONG_GetUnionID
08149AD8  TONG_GetWarBuildFund
081489AC  TONG_GetWarState
0814AD44  TONG_GetWeek
0814DF84  TONG_GetWeekBuildFund
0814E2A8  TONG_GetWeekBuildUpper
0814B068  TONG_GetWeekGoalEvent
0814B38C  TONG_GetWeekGoalLevel
0814B9D4  TONG_GetWeekGoalPlayer
0814C340  TONG_GetWeekGoalPricePlayer
0814C01C  TONG_GetWeekGoalPriceTong
0814B6B0  TONG_GetWeekGoalTotal
0814BCF8  TONG_GetWeekGoalValue
0815076C  TONG_IsExist
0814F208  TONG_Name2ID
0814F956  TONG_SetTaskTemp
08150547  TONG_WriteLog
08153907  TWS_ApplyAdd
08152BDE  TWS_ApplyAddDayOutput
08153675  TWS_ApplyAddTaskValue
081537BE  TWS_ApplyAddUTaskValue
08153B11  TWS_ApplyClose
08153C6D  TWS_ApplyDegrade
08153DDD  TWS_ApplyMaintain
08153A63  TWS_ApplyOpen
081539B5  TWS_ApplyRemove
08152A48  TWS_ApplySetDayOutput
08153423  TWS_ApplySetTaskValue
0815356C  TWS_ApplySetUseLevel
08152E60  TWS_ApplySetUseLevelSet
08153BBF  TWS_ApplyUpgrade
08153D1B  TWS_ApplyUse
08152DFC  TWS_GetBuildingNpc
081529E4  TWS_GetDayOutput
0815307C  TWS_GetFirstWorkshop
08152728  TWS_GetLevel
08153166  TWS_GetNextWorkshop
081532FF  TWS_GetTaskValue
08152660  TWS_GetType
0815338A  TWS_GetUTaskValue
081527F0  TWS_GetUseLevel
081528B8  TWS_GetUseLevelSet
08152FAD  TWS_GetWorkshopCount
08153E8B  TWS_IsExist
08153282  TWS_IsOpen
08152D71  TWS_SetBuildingNpc
080D8B4F  TabFile_GetCell
080D8A80  TabFile_GetColCount
080D89B1  TabFile_GetRowCount
080D881C  TabFile_Load
080D90EE  TabFile_Save
080D8F53  TabFile_Search
080D8D91  TabFile_SetCell
080D88F1  TabFile_UnLoad
080FEBC2  TaskCountLimit
080FEB4F  TaskInterval
080FE99B  TaskLoad
080FEA52  TaskName
080FEA06  TaskRelease
080FEC30  TaskSetMode
080FECB6  TaskSetStartDay
080FEAAE  TaskTime
080FCA44  Time2Tm
080FC83D  Tm2Time
080FF178  WriteStringToFile
081C8360  _ALERT
081C9D10  _ERRORMESSAGE
081CB400  abs
081CBA60  acos
081CA480  appendto
081CBC30  ascii
081CBAA0  asin
081C8000  assert
081CBA20  atan
081CB9C0  atan2
081C8D40  call
081CB3B0  ceil
081C9CE0  clock
081CB200  closefile
081C8CF0  collectgarbage
081C8C70  copytagmethods
081CBB20  cos
081C7620  curpack
081CAB10  date
081C9C40  debug
081CB320  deg
081C8C10  dofile
081C8B70  dostring
081C7FC0  error
081C9BF0  execute
081C9BC0  exit
081CB760  exp
081CB360  floor
081CAFB0  flush
081C8910  foreach
081C79C0  foreachi
081C8910  foreachvar
081CD140  format
081CB8F0  frexp
081C8AA0  gcinfo
081C9B70  getenv
081C8770  getglobal
081C9560  getinfo
081C9810  getlocal
081C76C0  getn
081C8500  gettagmethod
081C8A30  globals
081CC990  gsub
081CB880  ldexp
081CB7E0  log
081CB7A0  log10
081CB480  max
081CB4F0  min
081CB940  mod
081C8A00  newtag
081C88B0  next
081C88B0  nextvar
081CA3C0  openfile
081C87B0  print
081CB2E0  rad
081CB560  random
081CB440  randomseed
081C8720  rawget
081C8720  rawgetglobal
081C8720  rawgettable
081C7F60  rawset
081C7F60  rawsetglobal
081C7F60  rawsettable
081CACD0  read
081CA720  readfrom
081C9B30  remove
081C9AD0  rename
081CB090  seek
081C92F0  setbreakpointhook
081C9350  setcallhook
081C8310  setglobal
081C9320  setlinehook
081C9110  setlocal
081C99A0  setlocale
081C86B0  settag
081C85A0  settagmethod
081CBB60  sin
081C7ED0  sort
081CB820  sqrt
081CBC30  strbyte
081CBF30  strchar
081CCE10  strfind
081CBCF0  strlen
081CC100  strlower
081CBE60  strrep
081CC1C0  strsub
081CC040  strupper
081C8110  tag
081CBAE0  tan
081C7890  tinsert
081C9970  tmpname
081C83B0  tonumber
081C8160  tostring
081C7760  tremove
081C8080  type
08103FA0  unpack
081C7640  usepack
081CA740  write
081CA700  writeto
